Id	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
1	5670.0	5832.0	0.996	1935.0	1.0
1	5842.0	6539.0	0.998	1977.0	1.0
1	5699.0	5797.0	0.998	1860.0	1.0
1	6082.0	6082.0	1.0	2165.0	1.0
1	7356.0	7135.0	0.996	1882.0	1.0
1	5422.0	5549.0	0.998	1887.0	1.0
1	5442.0	5442.0	1.0	2064.0	1.0
1	5216.0	5216.0	1.0	1852.0	1.0
1	6078.0	6078.0	1.0	1767.0	1.0
1	5341.0	5341.0	1.0	1991.0	1.0
1	5005.0	5005.0	1.0	1608.0	1.0
1	5775.0	5775.0	1.0	1783.0	1.0
1	5260.0	5260.0	1.0	1878.0	1.0
1	5662.0	5754.0	0.996	2054.0	1.0
1	5962.0	5962.0	1.0	1766.0	1.0
1	6275.0	6275.0	1.0	1945.0	1.0
1	5675.0	5675.0	1.0	1791.0	1.0
1	5437.0	5437.0	1.0	1689.0	1.0
1	5168.0	5191.0	0.998	1718.0	1.0
1	5345.0	5201.0	0.998	1890.0	1.0
